"";"codeGeo";"libgeo_cp"
"696";"91230";"MONTGERON"
"697";"9A080";NA
"698";"54000";"NANCY"
"699";"18110";"ST MARTIN D AUXIGNY"
"700";"71250";"CLUNY"
"701";"13010";"MARSEILLE 10"
"702";"27140";"GISORS"
"703";"46600";"MARTEL"
"704";"99351";NA
"705";"61200";"ARGENTAN"
"706";"76200";"DIEPPE"
"707";"57000";"ST JULIEN LES METZ/METZ/LE BAN ST MARTIN"
"708";"80400";"HAM"
"709";"95840";"VILLIERS ADAM"
"710";"95440";"ECOUEN"
"711";"95580";"MARGENCY"
"712";"76000";"ROUEN"
"713";"77440";"LIZY SUR OURCQ"
"714";"23220";"BONNAT"
"715";"36120";"ARDENTES"
"716";"80680";"SAINS EN AMIENOIS"
"717";"83310";"COGOLIN"
"718";"9E000";NA
"719";"77177";"BROU SUR CHANTEREINE"
"720";"02160";"BOURG ET COMIN"
"721";"24340";"MAREUIL"
"722";"94340";"JOINVILLE LE PONT"
"723";"69140";"RILLIEUX LA PAPE"
"724";"99100";NA
"725";"60110";"MERU"
"726";"60128";"PLAILLY"
"727";"17000";"LA ROCHELLE"
"728";"76430";"ST ROMAIN DE COLBOSC"
"729";"89550";"HERY"
"730";"58200";"COSNE COURS SUR LOIRE"
"731";"60600";"CLERMONT"
"732";"89300";"JOIGNY"
"733";"9B060";NA
"734";"91C01";"ST SULPICE DE FAVIERES/CHAMARANDE"
"735";"45770";"SARAN"
"736";"34190";"GANGES"
"737";"47120";"DURAS"
"738";"99328";NA
"739";"37380";"MONNAIE"
"740";"78840";"FRENEUSE"
"741";"78440";"GARGENVILLE"
"742";"78560";"LE PORT MARLY"
"743";"60350";"CUISE LA MOTTE"
"744";"60700";"PONT STE MAXENCE"
"745";"03000";"MOULINS"
"746";"95450";"US"
"747";"45390";"PUISEAUX"
